city,street,number,lon,lat
אור יהודה,אריק איינשטיין 1,03-7797577,34.8600193,32.0205064
אור עקיבא,השקמים 8,04-646-0705,34.91794008,32.50435742
אילת,מתחם הספירל,08-9428989,34.9596765,29.5495247
אשדוד,אריק איינשטיין 4,08-9775157,34.6365283,31.7911936
אשקלון,שדרות אפריקה 65,08-6869144,34.570097,31.680045
באר יעקב,יהלום 3,08-9555764,34.8261351,31.9362388
באר שבע,החיטה 1,08-6445959,34.7994617,31.2341222
ביתן אהרון,מתחם ביתנ'ס,09-9661614,34.8680834,32.3615628
בת ים,בן גוריון 85,03-9441070,34.7389925,32.018181
גבעת שמואל,הערבה 1,03-7775169,34.8556056,32.084025
גבעתיים,בורכוב 54,03-9441580,34.8096975,32.078906
גבעתיים,דרך השלום 53,03-5090394,34.803277,32.066902
גדרה,מנחם בגין 12,08-6565999,34.7835822,31.80029
גן יבנה,המגינים 56,08-6913335,34.704494,31.7952815
הוד השרון,דרך רמתיים 24,09-9775251,34.8940276,32.1600277
הרצליה,השונית 2- קניון ארנה,09-9601630,34.7968935,32.1636494
הרצליה,חבצלת השרון 37,09-9799320,34.8048763,32.1789864
הרצליה,בן גוריון 22,09-7921477,34.8420226,32.1630141
חדרה,אקו פארק,04-8692622,34.9340366,32.4285114
חדרה,צומת חדרה כביש 4,04-8801493,34.91021,32.437704
חולון,פנחס איילון 13,03-7792477,34.7783752,32.0087448
חיפה,דוברין 3,077-7060373,34.9999173,32.8181047
חריש,גפן 4,04-8164606,35.0395,32.471
טירת הכרמל,ששת הימים 1,04-612-6444,34.9729581,32.7596281
יבנה,הדוגית 16,08-6846192,34.735896,31.866917
יוקנעם,שדרות יצחק רבין 9,04-6298822,35.0940528,32.6460421
יפו,עולי ציון 9,03-6036275,34.7569213,32.0529073
יפו,"רציף העלייה השנייה 101, נמל יפו",03-6241041,34.7506434,32.0542555
ירושלים,שדרת אלרוב ממילא,02-5644496,35.2252087,31.7773657
ירושלים,אביזוהר 8,02-9665661,35.1867225,31.7749335
ירושלים,המעיין 25,02-6449253,35.161224,31.764778
ירושלים,אגריפס 72,02-5444077,35.21137479,31.78468998
כרמיאל,מעלה כמון 2,052-7247441,35.3208182,32.9271943
כפר סבא,מתחם G,09-8912336,34.9284373,32.1720743
מודיעין,עמק זבולון 24 – קייזר סנטר,08-6578945,34.9982069,31.907639
מודיעין,קניון מודיעין,052-8264820,35.0076632,31.8996612
מעלה אדומים,הרכס 31,02-5455570,35.3113066,31.7824447
מצפה רמון,שדרות בן גוריון 2,08-9120806,34.8027322,30.6125647
נס ציונה,ויצמן 12,08-9955289,34.7982235,31.9269473
נתיבות,בעלי המלאכה 13,08-6733343,34.5952321,31.4184847
נצרת,ביג פאשן נצרת,04-6704343,35.30125526,32.69674366
נהריה,בלפור 1,04-6835333,35.0910873,33.0067673
נתניה,סינמה סיטי המחקר 3,09-8802035,34.8616661,32.2908142
נתניה,יכין סנטר,09-9777555,34.86202,32.2812249
סביון,נתיב היובל 1,03-7787088,34.877472,32.0446395
צומת גלילות,סינמה סיטי,03-9447269,34.8044874,32.1463675
עפולה,שדרות יצחק רבין 20,04-7749599,35.2998605,32.6146772
פרדס חנה,גלעד 1,04-8233660,34.9743126,32.4727894
פתח תקווה,השחם 30,NA,34.8587367,32.0873026
קניון הקריון,דרך עכו 192,04-8885555,35.0903414,32.8420813
קריית גת,דרך הדרום 20,08-658-9026,34.7772321,31.6057407
קריית מוצקין,שדרות ירושלים 1,04-641-2662,35.0652399,32.8352351
קרית אונו,המייסדים 3,03-7786447,34.8579994,32.0561635
ראש העין,רחוב שבזי 10,03-9024405,34.9418992,32.0985708
ראש פינה,התפוח 1,04-6190555,35.5503387,32.970075
רמלה,משה אדרת 4,08-9711909,34.8891982,31.9298811
רמת גן,שדרות ירושלים 3,03-5367330,34.81934893,32.07502139
רעננה,רחוב ויצמן 273,09-7882233,34.8450306,32.191239
רעננה,"אחוזה 71, רעננה",09-9591000,34.8806584,32.1789452
ראשון לציון,הטיילת 14,03-5080550,34.73254319999999,31.9988297
ראשון לציון,סחרוב 26,03-7745102,34.7741726,31.9895843
ראשון לציון,גבעתי 1,03-6099949,34.8170841,31.9671292
רחובות,מוטי קינד 10,08-9447717,34.78940960000001,31.8946742
רחובות,חיים פקריס 3,08-6875060,34.80454539999999,31.9119146
שוהם,עמק איילון 30,03-559-7967,34.94685,31.9990278
שפיים,חוצות שפיים,09-9697969,34.8283333,32.2208333
תל אביב,מקווה ישראל 22,03-6327766,34.7762768,32.0627021
תל אביב,בן יהודה 110,03-9743322,34.7717,32.0831387
תל אביב,מאיר יערי 19,03-6885836,34.7877215,32.0999275
תל אביב,ז'בוטינסקי 110,03-6968581,34.786645300000004,32.0871902
תל אביב,שמואל רודנסקי 5,03-6992770,34.79277609,32.12071803
תל אביב,מנחם בגין 144,03-5297797,34.79484,32.079904
תל אביב,קניון עזריאלי,03-6960405,34.7922028,32.0740769
תל אביב,חוף גורדון-הירקון 163,03-5780170,34.7689540001264,32.0848266319339
תל אביב,משה דיין 2,03-5614016,34.799156,32.047187
תל אביב,"יחיאלי 9, סוזן דלל",03-5105545,34.7642438,32.0607159
תל אביב,דיזינגוף 245,03-5164014,34.7761066,32.0921838
תל אביב,ישכון 22,03-5377887,34.7674684,32.0688802
תל אביב,דיזנגוף 107,03-6350409,34.7736884,32.0800888
