owner_id,age,gender,city_district,quarter,primary_breed,is_hybrid,secondary_breed,is_secondary_hybrid,breed_type,dog_yob,dog_gender,dog_color,dog_dob
4889,51-60,m,8,82,Shiba Inu,NA,NA,NA,K,2003,w,rotbraun,2003-04-10
55176,71-80,m,3,34,Dobermann,NA,NA,NA,I,2003,w,schwarz/braun,2003-02-10
63468,81-90,m,7,74,Mischling klein,NA,NA,NA,K,2003,m,braun/weiss,2003-11-10
64727,51-60,m,8,83,Border Collie,Mischling,NA,NA,I,2003,m,schwarz/weiss,2003-02-10
70577,51-60,w,3,34,Mischling klein,NA,NA,NA,K,2003,w,schwarz,2003-02-10
71119,51-60,w,11,115,Zwergpinscher,NA,NA,NA,K,2003,w,black/tan,2003-06-10
80011,41-50,w,12,123,Jura Laufhund,Mischling,NA,NA,I,2003,m,schwarz/braun/weiss,2003-11-10
80157,71-80,w,11,111,Mischling klein,NA,NA,NA,K,2003,w,braun/weiss,2003-03-10
80187,51-60,w,3,31,Golden Retriever,NA,NA,NA,I,2003,w,blondfarben,2003-06-10
80663,81-90,w,7,73,Malteser,NA,NA,NA,K,2003,m,weiss,2003-04-10
80871,61-70,m,7,72,Mischling klein,NA,NA,NA,K,2003,w,blondfarben,2003-08-10
80916,41-50,w,9,92,Tervueren,NA,Belgischer Schäfer,NA,I,2003,w,braun,2003-03-10
80945,71-80,w,7,72,Jack Russel Terrier,NA,NA,NA,K,2003,w,tricolor,2003-12-10
81043,81-90,m,9,92,Zwergpudel,NA,NA,NA,K,2003,m,braun,2003-05-10
81092,91-100,w,7,74,Foxterrier,NA,NA,NA,K,2003,m,saufarben,2003-12-10
81281,61-70,m,3,33,Labrador Retriever,NA,NA,NA,I,2003,m,schwarz,2003-06-10
81377,41-50,m,6,63,Bearded Collie,NA,NA,NA,I,2003,m,braun/weiss,2003-11-10
81403,71-80,w,6,63,Appenzeller,NA,NA,NA,I,2003,w,schwarz/weiss/braun,2003-04-10
81504,81-90,w,7,74,Pudel,Mischling,NA,NA,K,2003,m,grau,2003-05-10
81623,61-70,w,10,101,Sennenhund,Mischling,NA,NA,I,2003,m,schwarz/weiss/braun,2003-05-10
81671,51-60,w,10,101,Mischling klein,NA,NA,NA,K,2003,w,weiss/braun,2003-02-10
81671,51-60,w,10,101,Mischling klein,NA,NA,NA,K,2003,w,braun,2003-12-10
