owner_id,age,gender,city_district,quarter,primary_breed,is_hybrid,secondary_breed,is_secondary_hybrid,breed_type,dog_yob,dog_gender,dog_color,dog_dob
4281,61-70,w,9,91,Chihuahua,NA,NA,NA,K,2014,w,schwarz/weiss/braun,2014-09-10
5088,51-60,m,7,72,Labrador Retriever,NA,NA,NA,I,2014,w,schwarz,2014-11-10
6071,61-70,m,3,34,Cocker Spaniel,NA,Labrador Retriever,NA,I,2014,m,schwarz,2014-01-10
19004,51-60,m,5,52,Malteser,NA,NA,NA,K,2014,m,weiss,2014-06-10
20949,61-70,m,11,111,Shiba Inu,Mischling,NA,NA,K,2014,w,beige,2014-01-10
22776,51-60,m,11,119,Berner Sennenhund,NA,NA,NA,I,2014,m,tricolor,2014-02-10
22956,41-50,m,10,101,Cocker Spaniel,NA,NA,NA,K,2014,m,orange Schimmel,2014-07-10
62389,71-80,m,8,83,Boxer,NA,NA,NA,I,2014,w,gestromt,2014-06-10
70788,31-40,m,7,71,Mops,NA,Beagle,NA,K,2014,w,braun,2014-12-10
80169,41-50,w,4,42,Jack Russel Terrier,NA,Wolfspitz,NA,K,2014,m,schwarz,2014-07-10
80188,51-60,w,10,101,Mischling klein,NA,NA,NA,K,2014,m,braun,2014-04-10
80661,61-70,w,7,72,Chihuahua,NA,NA,NA,K,2014,w,schwarz/beige,2014-06-10
80778,61-70,m,2,23,Yorkshire Terrier,NA,NA,NA,K,2014,w,schwarz/braun,2014-07-10
80883,51-60,w,7,73,Galgo Español,NA,NA,NA,I,2014,w,braun gestromt,2014-12-10
80972,71-80,m,7,74,Hovawart,NA,NA,NA,I,2014,m,schwarz,2014-04-10
81116,51-60,w,7,74,Französische Bulldogge,NA,Mops,NA,K,2014,w,beige/schwarz,2014-11-10
81245,71-80,w,8,81,Mischling klein,NA,NA,NA,K,2014,w,schwarz,2014-12-10
81251,51-60,w,2,24,Irish Terrier,NA,NA,NA,I,2014,w,rot/braun,2014-01-10
