owner_id,age,gender,city_district,quarter,primary_breed,is_hybrid,secondary_breed,is_secondary_hybrid,breed_type,dog_yob,dog_gender,dog_color,dog_dob
171,61-70,m,3,31,Berner Sennenhund,NA,NA,NA,I,2009,m,tricolor,2009-03-10
19839,51-60,m,2,23,Labrador Retriever,Mischling,NA,NA,I,2009,w,schwarz,2009-08-10
22186,41-50,m,8,82,Labrador Retriever,NA,Border Collie,NA,I,2009,m,schwarz,2009-08-10
54322,71-80,m,3,33,Lagotto Romagnolo,NA,NA,NA,I,2009,m,weiss/orange,2009-03-10
65732,51-60,m,7,72,Holländischer Schäfer,NA,NA,NA,I,2009,m,gestromt,2009-05-10
70076,31-40,m,9,92,Labrador Retriever,NA,NA,NA,I,2009,m,braun,2009-04-10
70296,51-60,w,7,74,Pinscher,Mischling,NA,NA,K,2009,m,hellbraun,2009-03-10
71555,61-70,m,7,71,Mischling klein,NA,NA,NA,K,2009,m,schwarz schimmel,2009-10-10
80011,41-50,w,12,123,Yorkshire Terrier,NA,NA,NA,K,2009,m,tricolor,2009-10-10
80106,61-70,w,9,91,Labrador Retriever,NA,Golden Retriever,NA,I,2009,m,schwarz,2009-10-10
80248,51-60,m,4,42,Jack Russel Terrier,NA,NA,NA,K,2009,w,braun/weiss,2009-06-10
80258,51-60,m,11,111,Dackel,NA,NA,NA,K,2009,w,rot/schwarz,2009-04-10
80556,81-90,m,3,31,Mops,NA,NA,NA,K,2009,m,gestromt,2009-08-10
80584,71-80,w,8,82,Labrador Retriever,NA,NA,NA,I,2009,m,schwarz,2009-02-10
80604,71-80,m,7,72,Labrador Retriever,NA,NA,NA,I,2009,w,braun,2009-01-10
80637,81-90,m,12,123,Mischling gross,NA,NA,NA,I,2009,w,schwarz,2009-03-10
80653,61-70,m,7,73,Groenendael,NA,NA,NA,I,2009,w,schwarz,2009-01-10
80684,71-80,w,2,21,Bergamasker,Mischling,NA,NA,I,2009,m,tricolor,2009-10-10
80700,51-60,w,2,21,Podenco,NA,NA,NA,I,2009,w,braun/schwarz,2009-09-10
80762,51-60,w,11,111,Golden Retriever,NA,NA,NA,I,2009,m,golden,2009-02-10
80797,71-80,w,2,24,Shih Tzu,NA,NA,NA,K,2009,m,tricolor,2009-01-10
80896,81-90,m,7,74,Malteser,NA,NA,NA,K,2009,w,weiss,2009-06-10
80950,71-80,w,7,73,Rhodesian Ridgeback,NA,NA,NA,I,2009,m,rot,2009-07-10
80956,91-100,m,7,73,Coton de Tulear,NA,NA,NA,K,2009,w,weiss,2009-01-10
81045,61-70,w,6,63,Zwergrauhaardackel,NA,NA,NA,K,2009,w,saufarben,2009-06-10
81050,61-70,w,5,52,Labrador Retriever,NA,NA,NA,I,2009,m,schwarz,2009-04-10
81064,71-80,w,8,83,Labrador Retriever,NA,NA,NA,I,2009,w,braun,2009-03-10
81100,61-70,w,7,73,Mischling klein,NA,NA,NA,K,2009,m,braun,2009-01-10
81112,71-80,m,7,74,Australian Shepherd,Mischling,NA,NA,I,2009,m,blue/merle,2009-10-10
81134,71-80,m,7,74,Mittelspitz,NA,NA,NA,K,2009,w,schwarz/weiss,2009-03-10
81172,61-70,w,11,111,Collie,NA,NA,NA,I,2009,m,tricolor,2009-07-10
81245,71-80,w,8,81,Chihuahua,NA,NA,NA,K,2009,w,rot,2009-02-10
81377,41-50,m,6,63,Bearded Collie,NA,NA,NA,I,2009,m,blau/weiss,2009-08-10
81403,71-80,w,6,63,Border Collie,NA,NA,NA,I,2009,w,tricolor,2009-06-10
81475,71-80,w,7,71,Labrador Retriever,NA,NA,NA,I,2009,w,schwarz/weiss,2009-12-10
81483,51-60,w,5,52,Labrador Retriever,NA,Hovawart,NA,I,2009,w,schwarz/braun,2009-01-10
81599,81-90,w,3,31,Golden Retriever,NA,NA,NA,I,2009,w,golden,2009-03-10
81645,71-80,m,10,101,Airedale Terrier,NA,NA,NA,I,2009,w,black/tan,2009-11-10
81726,61-70,w,11,111,Mischling klein,NA,NA,NA,K,2009,w,braun,2009-06-10
81844,71-80,w,11,115,Mischling klein,NA,NA,NA,K,2009,w,braun,2009-12-10
81883,71-80,m,7,72,Beagle,NA,NA,NA,K,2009,w,tricolor,2009-08-10
81889,61-70,w,2,21,West Highland White Terrier,NA,NA,NA,K,2009,m,weiss,2009-02-10
82001,71-80,m,2,21,Rauhaar Dackel,NA,NA,NA,K,2009,w,saufarben,2009-08-10
82063,71-80,w,11,111,Mops,NA,NA,NA,K,2009,w,beige,2009-04-10
82080,61-70,m,10,101,Dachshund,NA,NA,NA,K,2009,w,saufarben,2009-03-10
82162,51-60,m,9,92,Flat Coated Retriever,NA,NA,NA,I,2009,m,schwarz,2009-02-10
82190,61-70,w,10,101,Mischling klein,NA,NA,NA,K,2009,m,beige,2009-01-10
82329,61-70,w,11,115,Dackel,NA,NA,NA,K,2009,m,braun,2009-02-10
82387,61-70,m,11,115,Havaneser,NA,NA,NA,K,2009,m,weiss,2009-10-10
82452,61-70,w,10,102,Dachshund,NA,NA,NA,K,2009,w,schwarz/grau,2009-10-10
82452,61-70,w,10,102,Dachshund,NA,NA,NA,K,2009,m,rot,2009-11-10
82509,51-60,w,7,72,Rottweiler,NA,NA,NA,I,2009,w,schwarz/braun,2009-10-10
82510,61-70,w,9,91,West Highland White Terrier,NA,NA,NA,K,2009,m,weiss,2009-08-10
82561,61-70,w,7,71,Yorkshire Terrier,NA,NA,NA,K,2009,w,blue/tan,2009-04-10
82581,61-70,w,7,72,Tibet Terrier,NA,NA,NA,K,2009,w,beige/schwarz,2009-02-10
82588,71-80,w,6,63,Appenzeller Sennenhund,NA,NA,NA,I,2009,w,tricolor,2009-12-10
82671,51-60,w,7,74,Continental Bulldog,NA,NA,NA,I,2009,m,rotbraun/weiss,2009-12-10
82738,61-70,m,7,74,English Setter,NA,NA,NA,I,2009,m,weiss/orange,2009-10-10
82751,71-80,m,8,83,Pudel,NA,NA,NA,K,2009,w,black/tan,2009-03-10
82813,51-60,w,7,73,Labrador Retriever,NA,NA,NA,I,2009,w,blondfarben,2009-06-10
82852,61-70,w,9,92,Chinese Crested Powderpuff,NA,NA,NA,K,2009,m,weiss/schwarz,2009-09-10
82868,51-60,w,2,21,Schäfer,NA,NA,NA,I,2009,w,weiss,2009-01-10
83050,71-80,m,2,23,Schnauzer,NA,West Highland White Terrier,NA,I,2009,w,schwarz/braun/weiss,2009-02-10
83097,71-80,w,1,13,Mischling klein,NA,NA,NA,K,2009,w,schwarz,2009-11-10
83141,61-70,w,2,23,Pekingese,NA,NA,NA,K,2009,w,braun/weiss,2009-06-10
83359,71-80,m,11,119,Französische Bulldogge,NA,NA,NA,K,2009,m,beige,2009-06-10
83577,71-80,m,4,42,Border Collie,NA,NA,NA,I,2009,m,schwarz/weiss,2009-04-10
83688,81-90,m,6,61,Deutscher Schäfer,NA,NA,NA,I,2009,m,schwarz/gelb,2009-08-10
83775,51-60,w,10,101,Jack Russel Terrier,NA,NA,NA,K,2009,w,tricolor,2009-03-10
83892,51-60,w,7,73,Mischling klein,NA,NA,NA,K,2009,w,braun,2009-10-10
83979,71-80,m,4,44,Golden Retriever,NA,NA,NA,I,2009,w,golden,2009-08-10
83993,61-70,w,7,73,Mischling klein,NA,NA,NA,K,2009,m,schwarz/weiss,2009-09-10
84008,61-70,w,10,102,Königspudel,NA,NA,NA,I,2009,m,apricot,2009-07-10
84070,71-80,w,9,92,Mischling klein,NA,NA,NA,K,2009,w,beige,2009-07-10
84180,61-70,w,4,41,Bearded Collie,NA,Bergamasker,NA,I,2009,w,schwarz/weiss,2009-01-10
